"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"197","B02512",6,2015,1,9,4,"Manhattan","Central Park","10019","2015/1/9 4:51",25,"N/A",""
"198","B02512",10,2015,1,9,5,"Queens","Steinway","11105","2015/1/9 5:51",25,"N/A",""
"199","B02512",46,2015,1,9,6,"Manhattan","Upper West Side South","10024","2015/1/9 6:45",24.8,"0","Snow"
"200","B02512",275,2015,1,9,7,"Brooklyn","Brighton Beach","11235","2015/1/9 7:51",23,"0.03","Snow"
"201","B02512",380,2015,1,9,8,"Manhattan","Midtown South","10036","2015/1/9 8:51",23,"0.04","Snow"
"202","B02512",172,2015,1,9,9,"Brooklyn","Downtown Brooklyn/MetroTech","11201","2015/1/9 9:51",25,"0",""
"203","B02512",75,2015,1,9,10,"Manhattan","Financial District North","10005","2015/1/9 10:51",26.1,"N/A",""
"204","B02512",59,2015,1,9,11,"Manhattan","East Chelsea","10011","2015/1/9 11:51",28.9,"N/A",""
"205","B02512",73,2015,1,9,12,"Manhattan","Penn Station/Madison Sq West","10001","2015/1/9 12:51",30.9,"N/A",""
"206","B02512",68,2015,1,9,13,"Manhattan","Times Sq/Theatre District","10036","2015/1/9 13:51",33.1,"N/A",""
"207","B02512",70,2015,1,9,14,"Manhattan","Midtown South","10036","2015/1/9 14:51",32,"N/A",""
"208","B02512",83,2015,1,9,15,"Manhattan","Midtown East","10022","2015/1/9 15:51",32,"N/A",""
"209","B02512",87,2015,1,9,16,"Manhattan","East Chelsea","10011","2015/1/9 16:51",30.9,"N/A",""
"210","B02512",115,2015,1,9,17,"Manhattan","UN/Turtle Bay South","10017","2015/1/9 17:51",30.9,"N/A",""
"211","B02512",145,2015,1,9,18,"Manhattan","Upper East Side South","10075","2015/1/9 18:51",30,"N/A",""
"212","B02512",160,2015,1,9,19,"Brooklyn","East Flatbush/Farragut","11210","2015/1/9 19:51",28.9,"N/A",""
"213","B02512",133,2015,1,9,20,"Manhattan","Times Sq/Theatre District","10036","2015/1/9 20:51",27,"N/A",""
"214","B02512",105,2015,1,9,21,"Manhattan","TriBeCa/Civic Center","11201","2015/1/9 21:51",26.1,"N/A",""
"215","B02512",115,2015,1,9,22,"Manhattan","Flatiron","10010","2015/1/9 22:51",25,"N/A",""
